key,value
7vsat4bl-4ge2-x8a6-kgrk-5jn7v6uv0gfa,152902
td4l994t-ejl1-b1u4-lrmx-z87ut7zgkqqv,732918
jzmqgn8r-qj8b-0s7t-l6x2-7khnzqnljs9t,591337
d8z5fblf-pfen-o68o-w1un-rwymwcrporr2,683616
e92b4pt2-phd3-fajj-y9tl-5f9pldbia3bw,781760
pq8k7r6y-hfp0-usk8-mj7n-3ehode6s2dn8,611792
q3euwyzx-j6hy-wthn-vt8j-2zkffc8pv6d9,851640
n0q2x2q7-smwi-dpsc-buhb-zl52yaytfgef,575095
njpbbj7c-ew8x-pigg-v276-wjv3fgfo49zz,751459
s2on0xgr-05l7-ts9k-p3vv-v9i7j0aby64l,527040
fo5103fk-19uy-x95z-afks-oqvr70t9zqqf,814755
hgiwzcya-of9i-whzv-0gpe-lrvr1ereabxh,146288
183pyk95-sm1m-vmht-lt9m-l5n0041x6czq,102578
8ya17tds-3i9o-tgc8-p3gc-2cail2t7u03y,263811
n490qe1v-yleb-m59j-3zic-n3klqi3u4n3z,492631
emyco9lg-ygoe-oda7-x84t-lsawvk9ontzk,843060
sv3sbotq-fnda-vscg-p6dd-yiwhkfpzxrar,354422
ldvy8xs6-wlty-uqvh-twum-xldw87ayu54m,427024
y5fuznir-keot-oan1-zx8g-lvtqf6jnhp0v,400730
m0otbnzd-llax-m827-xrql-7ak0ftn7pf48,575882
e00ecpru-p9rv-a72y-3mc3-18xaf8vlir2c,685165
sc2ol0ns-s59y-vcen-euvh-l5mvbe3rjkpj,658864
mtxxomg5-cbl6-wks4-qaac-mexwvd17mlok,499102
a1mp5qtx-4we5-ythz-ox9z-gfcljmlhmjm8,378435
ms6xendg-8jhy-bgkd-z9nk-4dcym49mlvkq,798416
wugh65rj-kpg3-s71b-452d-rbrxle1kqd9e,321143
zvrigdrf-mmas-ixe7-991g-lgh80ylv7k2c,426534
sf0jldxi-u4ba-1q19-0o5g-ns0v7z885c56,148885
bgc2w7jd-5bag-u767-3sg0-x5vbkgxbznxn,355803
zerfx72k-qn23-9nn6-1i4q-fq64yrw5qwg2,486160
qknr6lzr-s8mj-fi5g-ndmm-ad6efk2054y7,115484
on7d7ojl-4qz6-3vtm-b9im-8mjlmglpgbox,404858
xxqphhko-ducf-c7h4-vqgw-rselihgd410q,446972
dry6pa54-hdtx-ibin-hymz-muawbgf4i0sg,130374
ms6qkpph-qe1d-izee-w1sw-ehwwnuj25fh8,312414
xjh91a5o-aasc-6heh-8iyr-4ua7vt0bslap,411293
qu0xgi7y-2hf1-xh7u-ui6j-2i9idixeuomp,264322
uu63o433-zwn2-nhm7-4ym3-gdkhfmoy95tp,969613
opnvhvoz-117h-t67h-byes-u9hf680ya6jq,620434
iowoci7t-isrj-r4y2-umxa-jrzg3k2ajb8o,276553
6rotjhgd-xpym-mw4m-1u26-af3cxk89lnv3,853023
rmnyrn9p-5p1l-cgh9-jdzr-fy9uf68tpst8,574121
vgob4trc-tqca-6fyb-vo8c-zi9hwhm8wkio,176529
4el9zu1w-g2wu-yw0p-i651-2qji5y9iias4,330213
y7j0ktp6-r34d-kkvg-gl3j-2mr7cf0f3i68,123734
zol7xmzi-5swt-ictc-gteb-6fhqy6wub2bg,567716
itq3eogl-261i-1gyb-zl6w-ni0i5e3bni3u,873414
3skwwfdz-pxyx-7pa6-grxj-pti1m89e71my,141271
poh4dy50-gkj3-wvms-uxfq-wdx7u20rkd1q,657216
8x99nzq3-guk4-5unj-ty17-gbugzrvv8eh6,938698
9tuckxpy-9b8t-moau-8zh5-81qd5cxrk9gj,986705
qb5crdpk-y3sv-8bo1-znwg-hllroxubgl3y,753122
zj8jpjbt-qokf-bs6y-kzdm-uhuwjnq78z94,186431
iiltv06c-qmlu-v92l-otbt-ph01252tk8ty,819213
bccucgze-1305-6lh4-bf6o-9ck10b0vu0zf,214458
n4r84f75-t2n6-zxm5-rus0-dlyk3qspnp50,726314
18ix5t6g-bgu7-j6ad-zwf0-l5151dvtbg7m,272382
tlk0przk-vvie-wql5-7jjh-l4x8ch0p4yny,348655
jnwap3xc-6e1b-nn4h-n2ph-qw6z3is9if4m,511784
9q5ta6s6-8yny-r3ax-n9zw-mvcdoywmp7na,359927
nfwd07iy-ch9u-bojy-54xq-thwgrqkjed6v,729273
rqx3hdes-uxa8-r0pp-6itr-1lbb3tc3tp13,577233
v8w2bqi5-c9aj-xofl-znn1-534v727xjzck,802477
06qdz65j-wqwn-y148-dbjp-bh1l1m423vte,853859
1ro1e4ge-5l4q-ttyx-tmms-u3q57hweeby2,736741
r3pl9j50-1cow-c32c-z5z2-e5gpfh06x4g2,868659
4mn8tadi-vnsl-c3xs-mzcl-je25u0ng7dfc,402099
ppsq4tc0-d26p-7m0l-muh8-t29xnw88cg27,759938
i69vw4ug-nckg-blet-1q53-1zggjkzsjbhl,592872
pz7s4a9f-hdh5-cldu-xdd3-z2i36pjh9uql,520850
gkeseeyq-1j61-4dum-4lvl-ea92b9u9avf1,144198
ig4togkq-a3oc-gc5e-2bom-9zg0dai29kha,853272
4gbxcinj-rpsi-y6k8-tbix-7a8d5xw1id6y,293046
i5gshgr0-vzyn-qtxn-yhij-i5oe44jn0wza,936609
iw7zv3jg-5sag-cvdj-ox0r-fw0namgs8alk,493473
7qi08x8a-qrgs-77ax-h7qt-gusul7q40ob0,464509
ecd87xxv-jpt3-zz28-8bp0-vc6j5tujtfue,274842
wjtigwit-ic9y-fw3c-fy8l-50xazbzzkexo,344189
dkp7qs9q-ac8q-2zzf-sti9-ef00bhl7agsz,675833
ynuoiz7p-vlha-gjbv-okxv-ynpcevtmt7te,877559
d9p1esfr-6y5h-hok9-zyas-5qljea587twm,304618
kgdbkjoj-3s40-1arr-39zl-hqf3ve7zjlvt,730918
i9tiuurk-zise-k18k-9xvh-cfaa1u5rgxt5,806113
x6nqp9xg-midw-oh1u-zzjm-67917ybcgsmq,556442
8tb37nlt-dqs6-zfoa-d9gs-fztwrsp1m930,695520
jh8kh4oz-5v8a-57d0-h049-1g07ew7vwyro,701542
ixy293i5-jeqx-3rd3-3p4p-bvhuapevhqko,954002
ny9s129w-688b-j87a-j743-cuq0ptfcaarv,838237
ayuvfg9y-9rt8-u093-lzz0-9qsjnmnz9w8x,534232
fm3ttj8i-6n50-wxme-1xbk-fugj3hvhktkl,893558
81xdj1gy-mn47-qwph-kaaz-j7t93w2grz2j,842281
ibfgiqja-kcg7-wb4q-o898-8ssonfafj9s4,320400
3hj1evu7-9rkl-atk3-c28y-5auk3x950yx7,230054
zeuzvc1o-rm5u-7a7a-dx5u-byjf3l1cx49m,915956
pn5ljp09-5wxj-nprq-b8n1-qjgptpu450ju,928057
zyveg15v-7f89-2r6w-i8a1-tkarpljek1rg,553863
tkg2cgjx-qz2z-f000-hp3t-ilc1fbq02i3k,162107
se84338i-64ow-ga3p-9syy-wyxvab1f0hzv,238925
7hvhx9gs-qpf2-sd3b-kfjb-59wwd0hkphl3,416084
e2ela3nv-ajvc-3qm3-r1ij-2s052qqh3l43,763380
7vzwiz1g-hiij-h86j-voqh-sxd2vwxxysx4,171644
o051aem9-7emf-xn54-mx0e-hlcdg8d4nlj5,311216
4o1ne20k-nxyh-mq6g-din9-zeqo9jivym0d,832563
adf8oyei-dreu-9tsv-xl7i-brp1ppltplsz,893931
m0yk30hs-3cev-3r11-bvw8-g1we4er154mz,340600
wfch3iew-o7dm-j9d2-hb09-ip7g5jdarzpc,717527
o2x7irls-qr50-od9f-avua-sezxljo293xi,927298
5kln1at5-2m8i-nnes-toyf-9w90szexk4fu,352196
e8foy8dd-ctq9-ysuy-ee5q-iivxof492rel,688882
v0rk1g2h-ie5v-zip6-0bxe-jquhx0kutkut,558160
zt5jlgyl-sq0g-214e-1782-09jzxsxuj0l0,230045
p8h1owq8-9ez8-h1c1-yz2k-4scgdzrlmx6n,484025
bauunxt7-fj80-75u2-08wr-uegr3rfucnaf,870885
xf0nt3mf-lnag-m5v8-8iiv-tqwos1ba7v2x,235232
z3qegphh-h0cp-oav9-j5mv-c4acu0o0estx,995194
ib2admbt-xq49-ancx-a8ro-yqx4nksd77mw,259735
zattfcah-67sq-t918-52cb-48jkz6frhunt,248428
ijmplm7y-0k4a-qb3g-xxtj-233wioxnxobp,572276
buus1s0o-8mi3-isep-axpv-kc6hffyr19bi,265720
w1l6bqx3-64ee-hzo1-n178-z75haqt64kel,505118
0oaylom7-bvby-lelb-z4kw-bnwwltvfilcv,968712
50cn2p1k-4mni-4391-vmwo-8h5sr9jvv2bg,548481
oli8m3yh-pfyc-hnnf-zp7x-1f42lzxldcst,803058
gfjj3j8h-xl4m-snw2-wg28-zijok4b527ju,673852
04mzfq57-kgek-ojg8-nwdd-tl8gi91x74ro,326370
dhdo33eq-0oiv-7xz0-qeye-sgthv3hslkh1,538637
ash4ksnx-epyb-1e4v-kmf0-ubql2saf4bs1,764822
06qufgpd-8u8x-sc4g-luh8-0rbwkkl7v27p,982094
or2875ln-6faf-in6n-6diu-gkbo4aolr077,617667
j93u94ni-oawx-fuzd-yjgq-3z8ip3n65wsk,691628
joec4sfy-q58v-jmlg-9qxc-hg2xga47fr6l,268492
6i2t7ttr-m8oc-woq7-gq6f-yiugflxa0yp4,215927
n01itpps-vckv-shdl-zrcs-oecparah9y2p,494133
dsjyia6o-q5fz-ogb7-86er-4t88h1cwpdb3,785361
1z69emyk-oobk-m8th-88yo-brsldjsue8ko,865932
6n8nresr-mghb-n737-vcx9-wx7od8q7mp6q,863784
gf6vqg4a-83cp-wpwb-mfmp-mhtk19q7yyrg,153533
775uhsev-uzwm-gf1f-qa10-dsrqn4sfzypa,710820
u6oq4p58-x1ki-4tf3-bnt8-a3jz39m6r9ws,208281
yizeebdh-hgo8-pz0q-wp4f-drh7rnudvbny,248682
f6o6k1rm-j0nr-pt2t-0tje-vj6ou6z51ffb,167704
um5771k9-md3m-2ktw-4noh-juxvfdg71wc1,750325
rifbh91q-vpf6-sjse-ekx1-w6b3kg06o39h,326514
rb71m3s5-3cla-urxd-i6ma-u2bs3mtbcu98,520199
p47sxw5w-9zdt-e7uy-j5z5-svr7m025gbfq,529361
0hb6tmd4-gike-ff5n-k8qk-43pmkel94ad9,140204
v0g75jcx-6c90-icd4-gbqt-sjyevsuzdtsd,898015
4amkkbev-e5op-2buw-kc26-39i1r0d4o5c9,919271
gcn1sau6-m3kp-ybqz-0kij-jz7qninsjxpj,441643
qyjftg7o-05qq-2zld-pkkz-9hsh6e77681t,256866
vm5om1th-9c8d-66i7-ty8s-51bin50lyp6s,714141
1scxqhx2-j7ul-mwbc-3she-zfeownxw8aji,134399
bgxk1a3t-doa4-zboh-uqyj-1i9bz6icby78,941248
